"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","870","1080","1140","1230","1330","1350","1340","1280","1370","1380","1310","1320","1360","1360","1380","1240","1270","1290","1400","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13590","14370","14770","14980","15420","16340","17010","18010","19220","20200","21790","22970","24390","25130","26200","27470","30320","32010","32820","32200","31920","31970","32010","32690","33480","34490",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9340","10050","11250","12520","13940","15910","18300","20330","21290","19590","20020","22760","24910","26620","27440","27510",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","390","350","390","400","420","460","470","450","460","490","520","530","510","580","650","720","810","890","950","1050","1160","1250","1370","1500","1620",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14742.7655997639","15425.4349405027","15911.908982214","16229.4895766674","17040.3571232161","17858.2057223961","18596.1112477958","19454.0904576825","20334.4786063006","21109.8042553638","22547.3843978044","23707.8760726647","24581.8368018802","25244.9379018389","26505.6766338848","27801.9063064226","30102.8159358238","31792.6764381024","32982.7117658798","32324.4169974436","33303.0990452412","34616.9434209114","35205.0893025219","36138.7043358936","36830.7062249828","37583.4609285803",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1905.1218094866","1391.85607682922","1503.65198982586","1631.67847108256","1681.4735604094","1723.51423464259","1832.38505281381","1983.29209523945","2249.35278901818","2397.24871632083","2432.66295488268","2480.6523527772","2386.61827275484","2179.30659971842","2557.08716671966","2759.28319421272","2978.48601989052","3137.69949222976","3311.10650218768","3369.7359443113","3472.1021049124","3213.67013456843","3647.66836253684","3729.13398144506","3672.13995903488","3696.01472356106",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17590","16830","16320","16410","17470","18720","19370","21250","22820","24260","26300","27530","28510","28650","31300","32200","34830","37620","39800","38020","38840","40430","40650","40980","40960","40840",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3890","3900","4170","4290","4480","4760","5060","4950","4940","5420","5710","5780","6140","6270","6770","7110","7020","7210","7330","7360","7390","7260","7410","8020","8440","8700",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17580","18330","18990","19260","20020","20780","21490","22500","23630","24750","26460","27920","28790","28440","29450","30910","32920","34740","35890","35420","36620","38180","37990","39790","39980","40470",
"Faroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
